name,rating_nums,summary,author,peple_nums
富爸爸，穷爸爸,8.2,人穷穷观念，人富钱生钱,（美）罗伯特・T・清崎 / 杨君，杨明 / 世界图书出版公司 / 2000-09 / 18.80,"(
                    27183人评价
                )"
七夜雪,8.4,抵不过时间,沧月 / 北京十月文艺出版社 / 2006-10 / 25.00元,"(
                    26347人评价
                )"
那些年，我们一起追的女孩,8.2,那些年错过的大雨,九把刀 / 花山文艺出版社 / 2007-1 / 20.00元,"(
                    27085人评价
                )"
ZOO,8.6,噩梦中的一丝温度,[日] 乙一 / 李颖秋 / 当代世界出版社 / 2007-10 / 20.00元,"(
                    25664人评价
                )"
阿狸·梦之城堡,9.0,治愈,hans / 上海锦绣文章出版社 / 2009-1 / 36.80元,"(
                    24244人评价
                )"
红与黑,8.2,阴谋与爱情,司汤达 / 郭宏安 / 译林出版社 / 1993-7-1 / 20.00,"(
                    26937人评价
                )"
天使与魔鬼,8.2,科学与宗教的大乱斗,[美] 丹.布朗 / 朱振武 / 人民文学出版社 / 2005-2 / 29.80元,"(
                    26633人评价
                )"
时间简史,8.8,霍金与上帝的战争,[英] 史蒂芬·霍金 / 许明贤 / 湖南科学技术出版社 / 2010-4 / 45.00元,"(
                    24315人评价
                )"
最初的爱情 最后的仪式,8.0,别被封面骗了,[英] 伊恩·麦克尤恩 / 潘帕 / 南京大学出版社 / 2010-2 / 22.00元,"(
                    27017人评价
                )"
朝花夕拾,8.6,鲁迅的旧事重提,鲁迅 / 人民文学出版社 / 1972年4月 / 0.25元,"(
                    24584人评价
                )"
房思琪的初恋乐园,9.2,以血书写的文学,林奕含 / 北京联合出版公司 / 2018-1 / 45.00元,"(
                    23358人评价
                )"
水浒传（全二册）,8.5,风风火火闯九州,[明] 施耐庵 / 人民文学出版社 / 1997-1 / 50.60元,"(
                    24514人评价
                )"
佛祖在一号线,8.2,嬉笑怒骂的常识分子,李海鹏 / 文化艺术出版社 / 2010-6 / 25.00元,"(
                    25666人评价
                )"
国境以南 太阳以西,8.3,灾星下出生的恋人们,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 13.50元,"(
                    25387人评价
                )"
陆犯焉识,8.8,翻手为苍凉，覆手为繁华,严歌苓 / 作家出版社 / 2011-10 / 35.00元,"(
                    23361人评价
                )"
生活在别处,8.4,此处的生活唯有残酷,[捷克] 米兰·昆德拉 / 袁筱一 / 上海译文出版社 / 2004-5 / 25.00元,"(
                    24834人评价
                )"
西游记（全二册）,8.8,取经之路就在脚下,吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元,"(
                    23047人评价
                )"
雷雨,8.5,人的心都靠不住，我并不是说人坏，我就是恨人性太弱，太容易变了,曹禺 / 人民文学出版社 / 1999-05 / 9.20,"(
                    23887人评价
                )"
心是孤独的猎手,8.5,镇上有两个哑巴，他们总是在一起。,[美] 卡森·麦卡勒斯 / 陈笑黎 / 上海三联书店 / 2005-8 / 25.00元,"(
                    23780人评价
                )"
最好的我们,8.8,耿耿余淮,八月长安 / 湖南文艺出版社 / 2013-8-5 / 55,"(
                    22234人评价
                )"
瓦尔登湖,8.4,另一种生活,[美] 梭罗 / 徐迟 / 上海译文出版社 / 2006-8 / 11.00元,"(
                    23949人评价
                )"
